index,eigenvalue_lambda
1,5912330.709848002
2,3071858.8532879287
3,1934419.073623845
4,1515199.9053234363
5,1005162.5285249713
6,865703.0612749284
7,581581.6197927702
8,510870.56319176324
9,403610.637283216
10,310843.474021098
11,285986.3542114845
12,220891.40453835027
13,204636.34842846324
14,178288.6486201877
15,169540.1407999958
16,163910.27298776837
17,133800.1320071463
18,123866.89934128389
19,114040.25386097802
20,96429.5092666147
21,93571.20041464173
22,87057.9542832528
23,85252.68681137456
24,79760.77956360106
25,71939.1206749274
26,64760.52572477653
27,62702.83230453841
28,60048.95919509639
29,52824.15710324371
30,48507.78742767288
31,47364.194800076606
32,43845.10641219283
33,41649.328288813645
34,40294.13210841755
35,37556.2736042565
36,36610.915713459355
37,35370.23039486567
38,35165.72571309174
39,32554.781841412783
40,32021.26423830512
41,30810.45357046969
42,29781.309674319662
43,28553.979775516756
44,27328.126477343772
45,26051.194576109727
46,25737.19374948893
47,25104.57222193327
48,23924.740618893695
49,23448.852047916553
50,22120.872124515583
51,21993.793202385525
52,21265.293340517685
53,20412.997398598716
54,19599.109685928677
55,18681.619161218547
56,17960.501011835197
57,17843.448541437214
58,16927.672937845047
59,16746.611619465766
60,16080.78960731755
61,15716.834499505509
62,15283.069537776499
63,15049.22096035344
64,14178.112821176137
65,13755.900439016716
66,13560.47826037553
67,13308.266414203226
68,12846.423629822193
69,12447.561604773799
70,12327.568820636867
71,12059.229811686486
72,11461.209640603498
73,11100.735928363909
74,10626.899848682959
75,10502.681032764882
76,9974.681845771052
77,9809.414443334685
78,9407.981128145608
79,9302.633023573972
80,9135.789729877457
81,8788.987158765474
82,8669.788823702822
83,8512.063460889747
84,8328.026631848366
85,7812.807372441242
86,7736.174745905233
87,7317.687458693563
88,7142.37560430209
89,6954.564256800359
90,6812.911117868183
91,6499.752234568047
92,6176.151291475346
93,5879.597179553876
94,5765.341440423098
95,5620.975623603142
96,5408.565803946183
97,5244.388326297655
98,5204.198265529914
99,5172.20822318985
100,4998.319385496375
101,4866.834697783044
102,4724.380526707075
103,4529.633218988141
104,4461.707246368564
105,4369.225405919055
106,3953.2163765575265
107,3826.559277210784
108,3759.3659562230237
109,3501.4484843970204
110,3402.959395761397
111,3256.475167096989
112,3103.4691087682763
113,2923.9387840925647
114,2878.3051032897206
115,2836.797803549672
116,2630.8948006336527
117,2544.2644062078543
118,2477.881031204554
119,2380.8436944752702
120,2247.7435651205114
121,2067.493363269597
122,2032.371685998863
123,1806.962732317083
124,1646.107244965165
125,1437.7881514394592
126,1222.0465400441778
127,1112.0983547673052
128,1090.8830240139378
129,965.0090606104615
130,904.677873328587
131,722.4738208880408
132,627.60073531557
133,276.8644690653856
134,237.85009604571647
135,2.752564803094001e-25
136,3.3958846271336655e-26
137,3.3958846271336655e-26
138,3.3958846271336655e-26
139,3.3958846271336655e-26
140,3.3958846271336655e-26
141,3.3958846271336655e-26
142,3.3958846271336655e-26
143,3.395884627128887e-26
