Iter 0, NLL = 2422.4909
Iter 500, NLL = 1531.3936
Iter 1000, NLL = 1203.1983
Iter 1500, NLL = 1025.5141
Iter 2000, NLL = 912.9735
Iter 2500, NLL = 834.7683
Iter 3000, NLL = 776.9411
Iter 3500, NLL = 732.2354
Iter 4000, NLL = 696.4983
Iter 4500, NLL = 667.1778
Iter 5000, NLL = 642.6163
Iter 5500, NLL = 621.6893
Iter 6000, NLL = 603.6055
Iter 6500, NLL = 587.7916
Iter 7000, NLL = 573.8214
Iter 7500, NLL = 561.3713
Iter 8000, NLL = 550.1907
Iter 8500, NLL = 540.0826
Iter 9000, NLL = 530.8895
Iter 9500, NLL = 522.4844
Iter 10000, NLL = 514.7632
Iter 10500, NLL = 507.6399
Iter 11000, NLL = 501.0428
Iter 11500, NLL = 494.9116
Iter 12000, NLL = 489.1950
Iter 12500, NLL = 483.8494
Iter 13000, NLL = 478.8371
Iter 13500, NLL = 474.1258
Iter 14000, NLL = 469.6872
Iter 14500, NLL = 465.4965
Saved weights to weights4_3.npz
